OBS,Path,BaseTable,DataTablePath,f.Name,prompttext,ft.Name,DataType,mmria_path,value1,value2,mmria_value,MMRIA Group Name,Comments
459,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,NY - New York,NY,NY- New York,,
460,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,NC - North Carolina,NC,NC- North Carolina,,
461,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,ND - North Dakota,ND,ND- North Dakota,,
462,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,OH - Ohio,OH,OH- Ohio,,
463,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,OK - Oklahoma,OK,OK- Oklahoma,,
464,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,OR - Oregon,OR,OR- Oregon,,
465,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,PA - Pennsylvania,PA,PA- Pennsylvania,,
466,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,RI - Rhode Island,RI,RI- Rhode Island,,
467,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,SC - South Carolina,SC,SC- South Carolina,,
468,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,SD - South Dakota,SD,SD- South Dakota,,
469,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,TN - Tennessee,TN,TN- Tennessee,,
470,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,TX - Texas,TX,TX- Texas,,
471,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,UT - Utah,UT,UT- Utah,,
472,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,VT - Vermont,VT,VT- Vermont,,
473,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,VA - Virginia,VA,VA- Virginia,,
474,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,WA - Washington,WA,WA- Washington,,
475,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,WV - West Virginia,WV,WV- West Virginia,,
476,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,WI - Wisconsin,WI,WI- Wisconsin,,
477,DeathCertificate2.DC_BthState,DeathCertificate,DeathCertificate2,DC_BthState,State of birth (US),Comment Legal,Unknown,death_certificate/demographics/state_of_birth,WY - Wyoming,WY,WY- Wyoming,,
478,DeathCertificate2.DC_Chinese,DeathCertificate,DeathCertificate2,DC_Chinese,Chinese,Checkbox,Boolean,death_certificate/race/race,Chinese,,Chinese,,
479,DeathCertificate2.DC_DDoB,DeathCertificate,DeathCertificate2,DC_DDoB,Day,Number,Number,death_certificate/demographics/date_of_birth/day,,,,,
480,DeathCertificate2.DC_DoB,DeathCertificate,DeathCertificate2,DC_DoB,Calculated date,Date,Date,,,,,,
481,DeathCertificate2.DC_DoB_flag,DeathCertificate,DeathCertificate2,DC_DoB_flag,Estimate,Checkbox,Boolean,death_certificate/demographics/date_of_birth/is_estimated ,,,,,
482,DeathCertificate2.DC_DoD,DeathCertificate,DeathCertificate2,DC_DoD,Date of Death,Date,Date,,,,,,Removed MMRIA path
483,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,,,(blank),,
484,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,8th grade or less,,8th Grade or Less,,
485,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,9th-12th grade; no diploma,,9th-12th grade; No Diploma,,
486,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,High school grad or GED completed,,High School Grad or GED completed,,
487,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Some college; no degree,,Some College; No Degree,,
488,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Associate degree,,Associate's Degree,,
489,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Bachelor's degree,,Bachelor's Degree,,
490,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Master's degree,,Master's Degree,,
491,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Doctorate or Professional degree,,Doctorate or Professional Degree,,
492,DeathCertificate2.DC_Educ,DeathCertificate,DeathCertificate2,DC_Educ,Education*,Legal Values,Unknown,death_certificate/demographics/education_level ,Not specified,,Not Specified,,
493,DeathCertificate2.DC_EverMil,DeathCertificate,DeathCertificate2,DC_EverMil,Ever in US armed forces?,Legal Values,Unknown,death_certificate/demographics/ever_in_us_armed_forces ,,,(blank),,
494,DeathCertificate2.DC_EverMil,DeathCertificate,DeathCertificate2,DC_EverMil,Ever in US armed forces?,Legal Values,Unknown,death_certificate/demographics/ever_in_us_armed_forces ,1 - Yes,1,Yes,,
495,DeathCertificate2.DC_EverMil,DeathCertificate,DeathCertificate2,DC_EverMil,Ever in US armed forces?,Legal Values,Unknown,death_certificate/demographics/ever_in_us_armed_forces ,2 - No,2,No,,
496,DeathCertificate2.DC_EverMil,DeathCertificate,DeathCertificate2,DC_EverMil,Ever in US armed forces?,Legal Values,Unknown,death_certificate/demographics/ever_in_us_armed_forces ,9 - Not specified,9,Not Specified,,
497,DeathCertificate2.DC_Filipino,DeathCertificate,DeathCertificate2,DC_Filipino,Filipino,Checkbox,Boolean,death_certificate/race/race,Filipino,,Filipino,,
498,DeathCertificate2.DC_Guamanian,DeathCertificate,DeathCertificate2,DC_Guamanian,Guamanian or Chamorro,Checkbox,Boolean,death_certificate/race/race,Guamanian or Chamorro,,Guamanian or Chamorro,,
499,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,,,(blank),,
500,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"No, not Spanish/ Hispanic/ Latino",,"No, not Spanish/ Hispanic/ Latino",,
501,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"Yes, Mexican, Mexican American, Chicano",,"Yes, Mexican, Mexican American, Chicano",,
502,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"Yes, Puerto Rican",,"Yes, Puerto Rican",,
503,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"Yes, Cuban",,"Yes, Cuban",,
504,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"Yes, other Spanish/ Hispanic/ Latino",,"Yes, Other Spanish/ Hispanic/ Latino",,
505,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,"Yes, origin unkown",,"Yes, Origin Unknown",,
506,DeathCertificate2.DC_Hisp,DeathCertificate,DeathCertificate2,DC_Hisp,Hispanic origin?*,Legal Values,Unknown,death_certificate/demographics/is_of_hispanic_origin,Not specified,,Not Specified,,
507,DeathCertificate2.DC_IndustryClass,DeathCertificate,DeathCertificate2,DC_IndustryClass,Business / Industry,Text,Text,death_certificate/demographics/occupation_business_industry,,,,,
508,DeathCertificate2.DC_Japanese,DeathCertificate,DeathCertificate2,DC_Japanese,Japanese,Checkbox,Boolean,death_certificate/race/race,Japanese,,Japanese,,
509,DeathCertificate2.DC_Korean,DeathCertificate,DeathCertificate2,DC_Korean,Korean,Checkbox,Boolean,death_certificate/race/race,Korean,,Korean,,
510,DeathCertificate2.DC_LocalNo,DeathCertificate,DeathCertificate2,DC_LocalNo,Local File No.,Text,Text,death_certificate/certificate_identification/local_file_number,,,,,
511,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,,,(blank),,
512,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Married,,Married,,
513,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,"Married, but separated",,"Married, but Separated",,
514,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Widowed,,Widowed,,
515,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Divorced,,Divorced,,
516,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Never married,,Never Married,,
517,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Unknown,,Unknown,,
518,DeathCertificate2.DC_MarStat,DeathCertificate,DeathCertificate2,DC_MarStat,Marital status*,Legal Values,Unknown,death_certificate/demographics/marital_status,Not specified,,Not Specified,,
519,DeathCertificate2.DC_MDoB,DeathCertificate,DeathCertificate2,DC_MDoB,Month,Number,Number,death_certificate/demographics/date_of_birth/month,,,,,
520,DeathCertificate2.DC_Name1,DeathCertificate,DeathCertificate2,DC_Name1,Name,Text,Text,,,,,,
521,DeathCertificate2.DC_NatHI,DeathCertificate,DeathCertificate2,DC_NatHI,Native Hawaiian,Checkbox,Boolean,death_certificate/race/race,Native Hawaiian,,Native Hawaiian,,
522,DeathCertificate2.DC_Occupation,DeathCertificate,DeathCertificate2,DC_Occupation,Primary Occupation,Text,Text,death_certificate/demographics/primary_occupation,,,,,
523,DeathCertificate2.DC_OthAsian,DeathCertificate,DeathCertificate2,DC_OthAsian,Other Asian,Checkbox,Boolean,death_certificate/race/race,Other Asian,,Other Asian,,
524,DeathCertificate2.DC_OthAsianName,DeathCertificate,DeathCertificate2,DC_OthAsianName,Specify other Asian:,Text,Text,death_certificate/race/other_asian,,,,,
525,DeathCertificate2.DC_OthPI,DeathCertificate,DeathCertificate2,DC_OthPI,Other Pacific Islander,Checkbox,Boolean,death_certificate/race/race,Other Pacific Islander,,Other Pacific Islander,,
526,DeathCertificate2.DC_OthPIName,DeathCertificate,DeathCertificate2,DC_OthPIName,Specify other Pacific Islander:,Text,Text,death_certificate/race/other_pacific_islander,,,,,
527,DeathCertificate2.DC_OthRace,DeathCertificate,DeathCertificate2,DC_OthRace,Other race,Checkbox,Boolean,death_certificate/race/race,Other race,,Other Race,,
528,DeathCertificate2.DC_OthRaceName,DeathCertificate,DeathCertificate2,DC_OthRaceName,Specify (other),Text,Text,death_certificate/race/other_race,,,,,
529,DeathCertificate2.DC_Race_Recode,DeathCertificate,DeathCertificate2,DC_Race_Recode,OMB race recode,Text,Text,death_certificate/race/omb_race_recode ,,,,,
530,DeathCertificate2.DC_RaceNotSpec,DeathCertificate,DeathCertificate2,DC_RaceNotSpec,Race not specified,Checkbox,Boolean,death_certificate/race/race,Race not specified,,Race Not Specified,,
531,DeathCertificate2.DC_RecNo1,DeathCertificate,DeathCertificate2,DC_RecNo1,Record ID,Text,Text,,,,,,Copied from home record in MMRDS; Not needed in MMRIA
532,DeathCertificate2.DC_ResCity,DeathCertificate,DeathCertificate2,DC_ResCity,City*,Text,Text,death_certificate/place_of_last_residence/city,,,,,
533,DeathCertificate2.DC_ResCnty,DeathCertificate,DeathCertificate2,DC_ResCnty,County*,Text,Text,death_certificate/place_of_last_residence/county,,,,,
534,DeathCertificate2.DC_ResLat,DeathCertificate,DeathCertificate2,DC_ResLat,Latitude*,Number,Number,death_certificate/place_of_last_residence/latitude,,,,,
535,DeathCertificate2.DC_ResLon,DeathCertificate,DeathCertificate2,DC_ResLon,Longitude*,Number,Number,death_certificate/place_of_last_residence/longitude,,,,,
536,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate2,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,,,(blank),,
537,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate4,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,AL - Alabama,AL,AL- Alabama,,
538,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate5,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,AK - Alaska,AK,AK- Alaska,,
539,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate6,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,AZ - Arizona,AZ,AZ- Arizona,,
540,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate7,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,AR - Arkansas,AR,AR- Arkansas,,
541,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate8,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,CA - California,CA,CA- California,,
542,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate9,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,CO - Colorado,CO,CO- Colorado,,
543,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate10,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,CT - Connecticut,CT,CT- Connecticut,,
544,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate11,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,DE - Delaware,DE,DE- Delaware,,
545,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate12,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,DC - District of Columbia,DC,DC- District of Columbia,,
546,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate13,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,FL - Florida,FL,FL- Florida,,
547,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate14,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,GA - Georgia,GA,GA- Georgia,,
548,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate15,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,HI - Hawaii,HI,HI- Hawaii,,
549,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate16,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,ID - Idaho,ID,ID- Idaho,,
550,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate17,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,IL - Illinois,IL,IL- Illinois,,
551,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate18,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,IN - Indiana,IN,IN- Indiana,,
552,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate19,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,IA - Iowa,IA,IA- Iowa,,
553,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate20,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,KS - Kansas,KS,KS- Kansas,,
554,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate21,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,KY - Kentucky,KY,KY- Kentucky,,
555,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate22,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,LA - Louisiana,LA,LA- Louisiana,,
556,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate23,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,ME - Maine,ME,ME- Maine,,
557,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate24,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MD - Maryland,MD,MD- Maryland,,
558,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate25,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MA - Massachusetts,MA,MA- Massachusetts,,
559,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate26,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MI - Michigan,MI,MI- Michigan,,
560,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate27,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MN - Minnesota,MN,MN- Minnesota,,
561,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate28,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MS - Mississippi,MS,MS- Mississippi,,
562,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate29,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MO - Missouri,MO,MO- Missouri,,
563,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate30,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,MT - Montana,MT,MT- Montana,,
564,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate31,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NE - Nebraska,NE,NE- Nebraska,,
565,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate32,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NV - Nevada,NV,NV- Nevada,,
566,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate33,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NH - New Hampshire,NH,NH- New Hampshire,,
567,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate34,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NJ - New Jersy,NJ,NJ- New Jersey,,
568,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate35,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NM - New Mexico,NM,NM- New Mexico,,
569,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate36,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NY - New York,NY,NY- New York,,
570,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate37,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,NC - North Carolina,NC,NC- North Carolina,,
571,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate38,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,ND - North Dakota,ND,ND- North Dakota,,
572,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate39,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,OH - Ohio,OH,OH- Ohio,,
573,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate40,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,OK - Oklahoma,OK,OK- Oklahoma,,
574,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate41,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,OR - Oregon,OR,OR- Oregon,,
575,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate42,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,PA - Pennsylvania,PA,PA- Pennsylvania,,
576,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate43,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,RI - Rhode Island,RI,RI- Rhode Island,,
577,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate44,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,SC - South Carolina,SC,SC- South Carolina,,
578,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate45,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,SD - South Dakota,SD,SD- South Dakota,,
579,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate46,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,TN - Tennessee,TN,TN- Tennessee,,
580,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate47,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,TX - Texas,TX,TX- Texas,,
581,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate48,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,UT - Utah,UT,UT- Utah,,
582,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate49,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,VT - Vermont,VT,VT- Vermont,,
583,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate50,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,VA - Virginia,VA,VA- Virginia,,
584,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate51,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,WA - Washington,WA,WA- Washington,,
585,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate52,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,WV - West Virginia,WV,WV- West Virginia,,
586,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate53,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,WI - Wisconsin,WI,WI- Wisconsin,,
587,DeathCertificate2.DC_ResState,DeathCertificate,DeathCertificate54,DC_ResState,State*,Comment Legal,Unknown,death_certificate/place_of_last_residence/state,WY - Wyoming,WY,WY- Wyoming,,
588,DeathCertificate2.DC_ResStreet,DeathCertificate,DeathCertificate2,DC_ResStreet,Street*,Text,Text,death_certificate/place_of_last_residence/street,,,,,
589,DeathCertificate2.DC_ResZip,DeathCertificate,DeathCertificate2,DC_ResZip,ZIP Code*,Text,Text,death_certificate/place_of_last_residence/zip_code,,,,,
590,DeathCertificate2.DC_Samoan,DeathCertificate,DeathCertificate2,DC_Samoan,Samoan,Checkbox,Boolean,death_certificate/race/race,Samoan,,Samoan,,
591,DeathCertificate2.DC_StateNo,DeathCertificate,DeathCertificate2,DC_StateNo,State File No.,Text,Text,death_certificate/certificate_identification/state_file_number,,,,,
592,DeathCertificate2.DC_TOD1,DeathCertificate,DeathCertificate2,DC_TOD1,Time,Time,Time,death_certificate/certificate_identification/time_of_death,,,,,
593,DeathCertificate2.DC_Tribe,DeathCertificate,DeathCertificate2,DC_Tribe,Specify principle tribe:,Text,Text,death_certificate/race/principle_tribe,,,,,
594,DeathCertificate2.DC_Vietnamese,DeathCertificate,DeathCertificate2,DC_Vietnamese,Vietnamese,Checkbox,Boolean,death_certificate/race/race,Vietnamese,,Vietnamese,,
595,DeathCertificate2.DC_White,DeathCertificate,DeathCertificate2,DC_White,White,Checkbox,Boolean,death_certificate/race/race,White,,White,,
596,DeathCertificate2.DC_YDoB,DeathCertificate,DeathCertificate2,DC_YDoB,Year,Number,Number,death_certificate/demographics/date_of_birth/year,,,,,
597,DeathCertificate3.DC_AtopUsed,DeathCertificate,DeathCertificate3,DC_AtopUsed,Was autopsy used for death coding?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_used_for_death_coding,,,(blank),,
598,DeathCertificate3.DC_AtopUsed,DeathCertificate,DeathCertificate3,DC_AtopUsed,Was autopsy used for death coding?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_used_for_death_coding,1 - Yes,1,Yes,,
599,DeathCertificate3.DC_AtopUsed,DeathCertificate,DeathCertificate3,DC_AtopUsed,Was autopsy used for death coding?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_used_for_death_coding,2 - No,2,No,,
600,DeathCertificate3.DC_AtopUsed,DeathCertificate,DeathCertificate3,DC_AtopUsed,Was autopsy used for death coding?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_used_for_death_coding,9 - Not specified,9,Not Specified,,
601,DeathCertificate3.DC_Autopsy,DeathCertificate,DeathCertificate3,DC_Autopsy,Was autopsy perfomed?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_performed ,,,(blank),,
602,DeathCertificate3.DC_Autopsy,DeathCertificate,DeathCertificate3,DC_Autopsy,Was autopsy perfomed?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_performed ,1 - Yes,1,Yes,,
603,DeathCertificate3.DC_Autopsy,DeathCertificate,DeathCertificate3,DC_Autopsy,Was autopsy perfomed?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_performed ,2 - No,2,No,,
604,DeathCertificate3.DC_Autopsy,DeathCertificate,DeathCertificate3,DC_Autopsy,Was autopsy perfomed?*,Legal Values,Unknown,death_certificate/death_information/was_autopsy_performed ,9 - Not specified,9,Not Specified,,
605,DeathCertificate3.DC_DDoI,DeathCertificate,DeathCertificate3,DC_DDoI,Day,Number,Number,death_certificate/injury_associated_information/date_of_injury/day,,,,,
606,DeathCertificate3.DC_DoI,DeathCertificate,DeathCertificate3,DC_DoI,Calculated date,Date,Date,,,,,,
